@relation mail

@attribute ENRON {0, 1}
@attribute LOUISE {0, 1}
@attribute 2001 {0, 1}
@attribute ! {0, 1}
@attribute ORIGINAL {0, 1}
@attribute PM {0, 1}
@attribute KITCHEN {0, 1}
@attribute SUBJECT {0, 1}
@attribute CC {0, 1}
@attribute SENT {0, 1}
@attribute HTTP {0, 1}
@attribute 713 {0, 1}
@attribute FW {0, 1}
@attribute I {0, 1}
@attribute JOHN {0, 1}
@attribute QUESTIONS {0, 1}
@attribute ATTACHED {0, 1}
@attribute MEETING {0, 1}
@attribute THE {0, 1}
@attribute AM {0, 1}
@attribute HERE {0, 1}
@attribute CALL {0, 1}
@attribute 853 {0, 1}
@attribute | {0, 1}
@attribute 01 {0, 1}
@attribute OO {0, 1}
@attribute MESSAGE {0, 1}
@attribute 2005 {0, 1}
@attribute PHP {0, 1}
@attribute STOP {0, 1}
@attribute POWER {0, 1}
@attribute KNOW {0, 1}
@attribute GAS {0, 1}
@attribute LET {0, 1}
@attribute MARK {0, 1}
@attribute DAVID {0, 1}
@attribute MONDAY {0, 1}
@attribute WEDNESDAY {0, 1}
@attribute HOUSTON {0, 1}
@attribute THOUSAND {0, 1}
@attribute UPDATE {0, 1}
@attribute WILL {0, 1}
@attribute ( {0, 1}
@attribute YOUR {0, 1}
@attribute WEEK {0, 1}
@attribute IF {0, 1}
@attribute Y {0, 1}
@attribute ISSUES {0, 1}
@attribute ) {0, 1}
@attribute WOULD {0, 1}
@attribute DEAL {0, 1}
@attribute COM {0, 1}
@attribute TUESDAY {0, 1}
@attribute DISCUSS {0, 1}
@attribute FRIDAY {0, 1}
@attribute EMAIL {0, 1}
@attribute YAHOO {0, 1}
@attribute JEFF {0, 1}
@attribute _PERCENT_ {0, 1}
@attribute FROM {0, 1}
@attribute COMMENTS {0, 1}
@attribute 646 {0, 1}
@attribute FEATURED {0, 1}
@attribute MEDS {0, 1}
@attribute THANKS {0, 1}
@attribute VIAGRA {0, 1}
@attribute LAVORATO {0, 1}
@attribute GROUP {0, 1}
@attribute DAVE {0, 1}
@attribute ENA {0, 1}
@attribute PRESCRIPTION {0, 1}
@attribute PROMOTIONAL {0, 1}
@attribute AMERICAS {0, 1}
@attribute PILLS {0, 1}
@attribute THURSDAY {0, 1}
@attribute CALGER {0, 1}
@attribute O {0, 1}
@attribute ECT {0, 1}
@attribute spam {0, 1}

@data
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
